"","State","Year","Colonies","YieldPerCol","TotalProd","Pesticide","value","Pollutant","value"
"1","Alabama",1991,23000,24,552000,"Clothianidin",NA,"NO2.Mean",NA
"2","Alabama",1992,25000,41,1025000,"Clothianidin",NA,"NO2.Mean",NA
"3","Alabama",1993,19000,45,855000,"Clothianidin",NA,"NO2.Mean",NA
"4","Alabama",1994,18000,50,9e+05,"Clothianidin",NA,"NO2.Mean",NA
"5","Alabama",1995,16000,58,928000,"Clothianidin",0,"NO2.Mean",NA
"6","Alabama",1996,15000,64,960000,"Clothianidin",0,"NO2.Mean",NA
"7","Alabama",1997,14000,66,924000,"Clothianidin",0,"NO2.Mean",NA
"8","Alabama",1998,16000,71,1136000,"Clothianidin",0,"NO2.Mean",NA
"9","Alabama",1999,17000,68,1156000,"Clothianidin",0,"NO2.Mean",NA
"10","Alabama",2000,16000,78,1248000,"Clothianidin",0,"NO2.Mean",NA
"11","Alabama",2001,14000,73,1022000,"Clothianidin",0,"NO2.Mean",NA
"12","Alabama",2002,12000,86,1032000,"Clothianidin",0,"NO2.Mean",NA
"13","Alabama",2003,13000,82,1066000,"Clothianidin",0,"NO2.Mean",NA
"14","Alabama",2004,12000,87,1044000,"Clothianidin",2676.4,"NO2.Mean",NA
"15","Alabama",2005,13000,66,858000,"Clothianidin",1503.6,"NO2.Mean",NA
"16","Alabama",2006,11000,72,792000,"Clothianidin",680,"NO2.Mean",NA
"17","Alabama",2007,11000,56,616000,"Clothianidin",7696.2,"NO2.Mean",NA
"18","Alabama",2008,9000,66,594000,"Clothianidin",1598.3,"NO2.Mean",NA
"19","Alabama",2009,9000,50,450000,"Clothianidin",5087.2,"NO2.Mean",NA
"20","Alabama",2010,9000,54,486000,"Clothianidin",1914,"NO2.Mean",NA
"21","Alabama",2011,9000,50,450000,"Clothianidin",10106.1,"NO2.Mean",NA
"22","Alabama",2012,8000,54,432000,"Clothianidin",4797.8,"NO2.Mean",NA
"23","Alabama",2013,7000,52,364000,"Clothianidin",5992.9,"NO2.Mean",12.0656349677419
"24","Alabama",2014,7000,53,371000,"Clothianidin",7971.6,"NO2.Mean",9.4122713410596
"25","Alabama",2015,7000,47,329000,"Clothianidin",56.2,"NO2.Mean",9.07858020666667
"26","Alabama",2016,7000,52,364000,"Clothianidin",NA,"NO2.Mean",9.52487319463087
"27","Alabama",2017,7000,45,315000,"Clothianidin",NA,"NO2.Mean",NA
"28","Arizona",1991,75000,50,3750000,"Clothianidin",NA,"NO2.Mean",NA
"29","Arizona",1992,70000,54,3780000,"Clothianidin",NA,"NO2.Mean",NA
"30","Arizona",1993,55000,77,4235000,"Clothianidin",NA,"NO2.Mean",NA
"31","Arizona",1994,47000,59,2773000,"Clothianidin",0,"NO2.Mean",NA
"32","Arizona",1995,52000,79,4108000,"Clothianidin",0,"NO2.Mean",NA
"33","Arizona",1996,32000,60,1920000,"Clothianidin",0,"NO2.Mean",NA
"34","Arizona",1997,42000,80,3360000,"Clothianidin",0,"NO2.Mean",NA
"35","Arizona",1998,55000,60,3300000,"Clothianidin",0,"NO2.Mean",NA
"36","Arizona",1999,52000,62,3224000,"Clothianidin",0,"NO2.Mean",NA
"37","Arizona",2000,40000,59,2360000,"Clothianidin",0,"NO2.Mean",24.9939177397086
"38","Arizona",2001,43000,59,2537000,"Clothianidin",0,"NO2.Mean",22.0748470513242
"39","Arizona",2002,38000,63,2394000,"Clothianidin",0,"NO2.Mean",22.6198224882192
"40","Arizona",2003,35000,72,2520000,"Clothianidin",0,"NO2.Mean",21.8491595988128
"41","Arizona",2004,32000,55,1760000,"Clothianidin",96.7,"NO2.Mean",19.4550194484518
"42","Arizona",2005,36000,50,1800000,"Clothianidin",0,"NO2.Mean",21.3990597728311
"43","Arizona",2006,30000,65,1950000,"Clothianidin",48.7,"NO2.Mean",20.8652621723136
"44","Arizona",2007,30000,64,1920000,"Clothianidin",48.7,"NO2.Mean",18.6984073345727
"45","Arizona",2008,25000,64,1600000,"Clothianidin",0,"NO2.Mean",17.5923791879651
"46","Arizona",2009,20000,52,1040000,"Clothianidin",266,"NO2.Mean",16.5783132138617
"47","Arizona",2010,24000,77,1848000,"Clothianidin",921.7,"NO2.Mean",14.9556738106523
"48","Arizona",2011,23000,53,1219000,"Clothianidin",1188.3,"NO2.Mean",15.8492752757991
"49","Arizona",2012,22000,46,1012000,"Clothianidin",2036.4,"NO2.Mean",17.44190352253
"50","Arizona",2013,29000,36,1044000,"Clothianidin",2139.8,"NO2.Mean",15.5463530785388
"51","Arizona",2014,26000,39,1014000,"Clothianidin",2262.1,"NO2.Mean",15.7219133010959
"52","Arizona",2015,26000,49,1274000,"Clothianidin",223.1,"NO2.Mean",13.109824156621
"53","Arizona",2016,27000,46,1242000,"Clothianidin",NA,"NO2.Mean",15.329504043956
"54","Arizona",2017,22000,40,880000,"Clothianidin",NA,"NO2.Mean",NA
"55","Arkansas",1991,47000,79,3713000,"Clothianidin",NA,"NO2.Mean",NA
"56","Arkansas",1992,45000,65,2925000,"Clothianidin",NA,"NO2.Mean",NA
"57","Arkansas",1993,50000,73,3650000,"Clothianidin",NA,"NO2.Mean",NA
"58","Arkansas",1994,50000,71,3550000,"Clothianidin",NA,"NO2.Mean",NA
"59","Arkansas",1995,50000,60,3e+06,"Clothianidin",0,"NO2.Mean",NA
"60","Arkansas",1996,40000,84,3360000,"Clothianidin",0,"NO2.Mean",NA
"61","Arkansas",1997,50000,95,4750000,"Clothianidin",0,"NO2.Mean",NA
"62","Arkansas",1998,53000,65,3445000,"Clothianidin",0,"NO2.Mean",NA
"63","Arkansas",1999,52000,89,4628000,"Clothianidin",0,"NO2.Mean",NA
"64","Arkansas",2000,52000,93,4836000,"Clothianidin",0,"NO2.Mean",NA
"65","Arkansas",2001,50000,98,4900000,"Clothianidin",0,"NO2.Mean",NA
"66","Arkansas",2002,45000,88,3960000,"Clothianidin",0,"NO2.Mean",NA
"67","Arkansas",2003,40000,75,3e+06,"Clothianidin",0,"NO2.Mean",NA
"68","Arkansas",2004,40000,57,2280000,"Clothianidin",530.9,"NO2.Mean",NA
"69","Arkansas",2005,36000,69,2484000,"Clothianidin",2458.3,"NO2.Mean",NA
"70","Arkansas",2006,32000,76,2432000,"Clothianidin",1518.4,"NO2.Mean",NA
"71","Arkansas",2007,28000,80,2240000,"Clothianidin",209.8,"NO2.Mean",10.7817447335165
"72","Arkansas",2008,28000,75,2100000,"Clothianidin",2168.9,"NO2.Mean",8.99139492896175
"73","Arkansas",2009,24000,57,1368000,"Clothianidin",4346.9,"NO2.Mean",9.14633706027397
"74","Arkansas",2010,25000,60,1500000,"Clothianidin",3544.8,"NO2.Mean",9.98530592876712
"75","Arkansas",2011,22000,64,1408000,"Clothianidin",5894.4,"NO2.Mean",9.9821338109589
"76","Arkansas",2012,25000,63,1575000,"Clothianidin",4939.2,"NO2.Mean",10.5659572240437
"77","Arkansas",2013,22000,60,1320000,"Clothianidin",17338.3,"NO2.Mean",9.79167925753425
"78","Arkansas",2014,21000,65,1365000,"Clothianidin",15202.6,"NO2.Mean",8.86205075616438
"79","Arkansas",2015,24000,72,1728000,"Clothianidin",1070.4,"NO2.Mean",8.61283287087912
"80","Arkansas",2016,24000,69,1656000,"Clothianidin",NA,"NO2.Mean",8.66111279120879
"81","Arkansas",2017,29000,77,2233000,"Clothianidin",NA,"NO2.Mean",NA
"82","California",1991,520000,63,32760000,"Clothianidin",NA,"NO2.Mean",NA
